name	x	y
Achin	NONE	NONE
Kabul	69.17233	34.52813
Ghazni	68.42096	33.55391
Badakhshan	NONE	NONE
Helmand	64.0	31.0
Pul	NONE	NONE
Sar	NONE	NONE
Kapisa	NONE	NONE
Asylum	NONE	NONE
Ghor	NONE	NONE
Kunduz Province	NONE	NONE
Afghanistan	66.0	33.0
NGO	NONE	NONE
Iran	53.0	32.0
Baghlan	68.95019	36.13693
Pakistan	70.0	30.0
IDP	NONE	NONE
NDS	NONE	NONE
Herat	NONE	NONE
Farah	62.11638	32.37451
Khost	NONE	NONE
Logar	NONE	NONE
Takhar	NONE	NONE
Zabul	NONE	NONE
Netherlands	5.75	52.25
Europe	9.82167	46.7967
